Quicksort;500;1000;2000;4000;8000;16000;32000;64000;128000;;Insertion-Sort ;100;500;700;1100;1300;1700;1900;2300;3000;3500
Laufzeit;61;100;216;489;1230;3802;13708;50866;199286;;Laufzeit (ms);84;954;2046;5028;8140;14213;18970;29631;56589;81443
Lesezugriffe;10080;33516;82372;188914;432059;990200;2369269;6209014;17910310;;Lesezugriffe;10098;250498;490698;1211098;1691298;2891698;3611898;5292298;9002998;12253498
Schreibzugriffe;1679870;1685064;1696414;1720498;1770888;1873606;2084838;2506220;3354848;;Schreibzugriffe;5049;125249;245349;605549;845649;1445849;1805949;2646149;4501499;6126749
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Quicksort;500;1000;2000;4000;8000;16000;32000;64000;128000;;;;;;;;;;;;
Laufzeit;61;100;216;489;1230;3802;13708;50866;199286;;;;;;;;;;;;
